task,run_time,mse,train_loss,l2rel,mxe,crmse,activation,net,optimizer,loss_weight,width,depth,lr,num_domain_points,num_boundary_points,num_initial_points,initializer,iter,pde_list
Burgers1D,1140.0,0.838,21.4,1.5,2.39,0.744,swish,fnn,multiadam,none,100,5,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,1364.434141,0.0024988403533297,0.0002969632623717,0.0821251325950265,0.71979671716621,0.0080094276738763,swish,laaf,adam,none,152,6,0.0001,5600,1100,6600,Glorot normal,20000,['Burgers1D']
Burgers1D,1154.056998,0.002527241170871,0.0067893825471401,0.0825905146590516,0.7544150948529119,0.0080189270870235,tanh,laaf,multiadam,none,132,4,0.001,8600,8600,5100,Glorot uniform,20000,['Burgers1D']
Burgers1D,1450.919224,0.002527241170871,0.0067893825471401,0.0825905146590516,0.7544150948529119,0.0080189270870235,tanh,laaf,multiadam,none,132,4,0.001,8600,8600,5100,Glorot uniform,20000,['Burgers1D']
Burgers1D,1228.799718,0.0025767303471034,9.229994611814618e-05,0.0833952499334045,0.8027143478400445,0.003970405718099,swish,laaf,adam,none,136,5,0.0001,1100,8100,8600,He uniform,20000,['Burgers1D']
Burgers1D,1536.249004,0.0025767303471034,9.229994611814618e-05,0.0833952499334045,0.8027143478400445,0.003970405718099,swish,laaf,adam,none,136,5,0.0001,1100,8100,8600,He uniform,20000,['Burgers1D']
Burgers1D,674.336942,0.0026822035727402,0.0030300840735435,0.0850849399633985,0.4489996433263391,0.0008759629840357,swish,fnn,adam,none,208,4,0.0001,2600,1100,2600,He uniform,20000,['Burgers1D']
Burgers1D,1744.193839,0.0024988403533297,0.0002969632623717,0.0821251325950265,0.71979671716621,0.0080094276738763,swish,laaf,adam,none,152,6,0.0001,5600,1100,6600,Glorot normal,20000,['Burgers1D']
Burgers1D,629.109738,0.0026822035727402,0.0030300840735435,0.0850849399633985,0.4489996433263391,0.0008759629840357,swish,fnn,adam,none,208,4,0.0001,2600,1100,2600,He uniform,20000,['Burgers1D']
Burgers1D,447.0,0.00316,0.00649,0.0924,0.438,0.0141,swish,fnn,adam,none,128,3,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,1597.612672,0.0032926097658301,0.0329181477427482,0.094270749379905,0.6148266196244025,0.0079804897060183,sin,fnn,multiadam,none,204,7,0.001,5600,['Burgers1D'],3100,Glorot uniform,20000,['Burgers1D']
Burgers1D,1669.677084,0.0032926097658301,0.0329181477427482,0.094270749379905,0.6148266196244025,0.0079804897060183,sin,fnn,multiadam,none,204,7,0.001,5600,['Burgers1D'],3100,Glorot uniform,20000,['Burgers1D']
Burgers1D,864.61774,0.0033419523653927,0.0327920280396938,0.0949744869331359,0.6217727661125922,0.0025534250351874,gaussian,fnn,multiadam,none,152,3,0.0001,5600,2100,600,Glorot uniform,20000,['Burgers1D']
Burgers1D,864.306842,0.0033419523653927,0.0327920280396938,0.0949744869331359,0.6217727661125922,0.0025534250351874,gaussian,fnn,multiadam,none,152,3,0.0001,5600,2100,600,Glorot uniform,20000,['Burgers1D']
Burgers1D,861.679993,0.0033419523653927,0.0327920280396938,0.0949744869331359,0.6217727661125922,0.0025534250351874,gaussian,fnn,multiadam,none,152,3,0.0001,5600,2100,600,Glorot uniform,20000,['Burgers1D']
Burgers1D,447.0,0.00316,0.00649,0.0924,0.438,0.0141,swish,fnn,adam,none,128,3,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,34.8,0.00366,0.000254,0.0993,0.838,0.00613,swish,fnn,adam,none,100,5,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,1020.0,0.00225,0.0294,0.078,0.665,0.000755,sin,fnn,multiadam,none,100,5,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,1947.493702,0.0022445091306409,0.0026421104557812,0.0778336714216659,0.3843216001981339,0.0008257102895259,tanh,laaf,adam,none,240,5,1e-05,2100,5600,8600,He normal,20000,['Burgers1D']
Burgers1D,975.0,0.00133,0.0037,0.0598,0.322,0.00214,sin,fnn,adam,none,256,3,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,1153.860567,0.0015671085917672,0.0011437798384577,0.0650363821453375,0.5445919036871353,0.0068829279262223,tanh,fnn,multiadam,none,100,6,0.0001,6600,6600,6100,He uniform,20000,['Burgers1D']
Burgers1D,998.020357,0.0015671085917672,0.0011437798384577,0.0650363821453375,0.5445919036871353,0.0068829279262223,tanh,fnn,multiadam,none,100,6,0.0001,6600,6600,6100,He uniform,20000,['Burgers1D']
Burgers1D,19633.691134,0.0016943666741495,2.0920699626003625e-06,0.0676255061826801,0.6198629736894995,0.0032985811830066,tanh,laaf,lbfgs,none,204,5,0.0001,1600,['Burgers1D'],5100,He normal,20000,['Burgers1D']
Burgers1D,19680.693693,0.0016943666741495,2.0920699626003625e-06,0.0676255061826801,0.6198629736894995,0.0032985811830066,tanh,laaf,lbfgs,none,204,5,0.0001,1600,['Burgers1D'],5100,He normal,20000,['Burgers1D']
Burgers1D,19626.11897,0.0016943666741495,2.0920699626003625e-06,0.0676255061826801,0.6198629736894995,0.0032985811830066,tanh,laaf,lbfgs,none,204,5,0.0001,1600,['Burgers1D'],5100,He normal,20000,['Burgers1D']
Burgers1D,1020.0,0.00225,0.0294,0.078,0.665,0.000755,sin,fnn,multiadam,none,100,5,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,525.757368,0.0017066588342038,0.0114007107913494,0.0678703650305111,0.635691225529122,0.0069825316902578,tanh,gaaf,multiadam,none,168,3,0.001,7100,2100,2100,Glorot normal,20000,['Burgers1D']
Burgers1D,4352.528348,0.0021072224095924,0.0040005459450185,0.0754157434221678,0.6547628641123205,0.0060079949166049,sin,laaf,multiadam,none,204,4,0.001,2600,6100,9100,He uniform,20000,['Burgers1D']
Burgers1D,4374.374121,0.0021072224095924,0.0040005459450185,0.0754157434221678,0.6547628641123205,0.0060079949166049,sin,laaf,multiadam,none,204,4,0.001,2600,6100,9100,He uniform,20000,['Burgers1D']
Burgers1D,20185.509127,0.0021362539885406,5.059464456280693e-06,0.075933474377769,0.9414576292031056,7.24193751507155e-05,sin,fnn,lbfgs,none,224,3,1e-05,1100,1600,3600,He uniform,20000,['Burgers1D']
Burgers1D,20182.251063,0.0021362539885406,5.059464456280693e-06,0.075933474377769,0.9414576292031056,7.24193751507155e-05,sin,fnn,lbfgs,none,224,3,1e-05,1100,1600,3600,He uniform,20000,['Burgers1D']
Burgers1D,20172.369653,0.0021362539885406,5.059464456280693e-06,0.075933474377769,0.9414576292031056,7.24193751507155e-05,sin,fnn,lbfgs,none,224,3,1e-05,1100,1600,3600,He uniform,20000,['Burgers1D']
Burgers1D,2095.454089,0.0022445091306409,0.0026421104557812,0.0778336714216659,0.3843216001981339,0.0008257102895259,tanh,laaf,adam,none,240,5,1e-05,2100,5600,8600,He normal,20000,['Burgers1D']
Burgers1D,4325.641009,0.0021072224095924,0.0040005459450185,0.0754157434221678,0.6547628641123205,0.0060079949166049,sin,laaf,multiadam,none,204,4,0.001,2600,6100,9100,He uniform,20000,['Burgers1D']
Burgers1D,987.0,0.00133,0.0037,0.0598,0.322,0.00214,sin,fnn,adam,none,256,3,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,2426.401396,0.0038928735377921,0.0004260411660652,0.1025042745210789,0.8510326147086374,0.0082099671780757,tanh,fnn,adam,none,228,4,0.0001,4600,1100,4100,He uniform,20000,['Burgers1D']
Burgers1D,2427.245117,0.0038928735377921,0.0004260411660652,0.1025042745210789,0.8510326147086374,0.0082099671780757,tanh,fnn,adam,none,228,4,0.0001,4600,1100,4100,He uniform,20000,['Burgers1D']
Burgers1D,1353.308373,0.3704984082044432,0.0,1.0000000037687806,1.0000527859665451,5.284557118648613e-05,gaussian,fnn,multiadam,none,136,7,0.0001,4100,2600,6600,zeros,20000,['Burgers1D']
Burgers1D,1671.230841,0.0462103613775259,0.0209559816867113,0.3531640681150898,0.8012508600950241,0.0019304143653812,tanh,laaf,multiadam,none,216,3,0.0001,7100,7100,7100,Glorot uniform,20000,['Burgers1D']
Burgers1D,464.949603,0.3928664689290747,0.9756235480308532,1.0297440948653829,1.4296126067638395,0.0412481770675555,gaussian,gaaf,adam,none,100,3,1e-05,5100,100,5600,He normal,20000,['Burgers1D']
Burgers1D,1181.422274,0.0063617290538634,1.3868128007743508e-05,0.131037142122701,1.3515390157699585,0.0071612604894618,tanh,gaaf,adam,none,152,5,1e-05,1600,9600,6100,Glorot uniform,20000,['Burgers1D']
Burgers1D,1141.306079,0.0152868357303567,3.0029092158656567e-05,0.203126052109384,1.599676549434662,0.0107377969855146,tanh,laaf,adam,none,108,6,0.001,1100,8100,2600,Glorot uniform,20000,['Burgers1D']
Burgers1D,357.0,0.0151,0.0131,0.202,0.318,0.0042,tanh,gaaf,adam,none,100,5,0.001,8192,2048,2024,Glorot normal,20000,
Burgers1D,1125.009306,0.3704984079389937,0.0,1.0000000034105476,1.0000502117072756,5.0271311916736384e-05,sin,fnn,lbfgs,none,204,4,1e-05,7600,600,8100,zeros,20000,['Burgers1D']
